"","Month","Title","Employed"
"1",1990 Jan,"Retail Trade",13255.8
"2",1990 Feb,"Retail Trade",12966.3
"3",1990 Mar,"Retail Trade",12938.2
"4",1990 Apr,"Retail Trade",13012.3
"5",1990 May,"Retail Trade",13108.3
"6",1990 Jun,"Retail Trade",13182.8
"7",1990 Jul,"Retail Trade",13170.1
"8",1990 Aug,"Retail Trade",13159.5
"9",1990 Sep,"Retail Trade",13113.4
"10",1990 Oct,"Retail Trade",13185.2
"11",1990 Nov,"Retail Trade",13461.9
"12",1990 Dec,"Retail Trade",13673.1
"13",1991 Jan,"Retail Trade",13068.3
"14",1991 Feb,"Retail Trade",12744.2
"15",1991 Mar,"Retail Trade",12684.5
"16",1991 Apr,"Retail Trade",12687
"17",1991 May,"Retail Trade",12780.6
"18",1991 Jun,"Retail Trade",12859
"19",1991 Jul,"Retail Trade",12849.1
"20",1991 Aug,"Retail Trade",12871.3
"21",1991 Sep,"Retail Trade",12823
"22",1991 Oct,"Retail Trade",12885.6
"23",1991 Nov,"Retail Trade",13150.8
"24",1991 Dec,"Retail Trade",13391.1
"25",1992 Jan,"Retail Trade",12788.6
"26",1992 Feb,"Retail Trade",12586.1
"27",1992 Mar,"Retail Trade",12547.8
"28",1992 Apr,"Retail Trade",12636.3
"29",1992 May,"Retail Trade",12740.4
"30",1992 Jun,"Retail Trade",12825.1
"31",1992 Jul,"Retail Trade",12804.9
"32",1992 Aug,"Retail Trade",12810.6
"33",1992 Sep,"Retail Trade",12783.9
"34",1992 Oct,"Retail Trade",12890.4
"35",1992 Nov,"Retail Trade",13147.6
"36",1992 Dec,"Retail Trade",13411.8
"37",1993 Jan,"Retail Trade",12849.3
"38",1993 Feb,"Retail Trade",12701.7
"39",1993 Mar,"Retail Trade",12654.3
"40",1993 Apr,"Retail Trade",12745.3
"41",1993 May,"Retail Trade",12864.2
"42",1993 Jun,"Retail Trade",12975
"43",1993 Jul,"Retail Trade",13009.2
"44",1993 Aug,"Retail Trade",13048.2
"45",1993 Sep,"Retail Trade",13048.6
"46",1993 Oct,"Retail Trade",13175.2
"47",1993 Nov,"Retail Trade",13457.5
"48",1993 Dec,"Retail Trade",13755.5
"49",1994 Jan,"Retail Trade",13152.8
"50",1994 Feb,"Retail Trade",13014.9
"51",1994 Mar,"Retail Trade",13051.4
"52",1994 Apr,"Retail Trade",13165.3
"53",1994 May,"Retail Trade",13295
"54",1994 Jun,"Retail Trade",13428.9
"55",1994 Jul,"Retail Trade",13485.9
"56",1994 Aug,"Retail Trade",13549.4
"57",1994 Sep,"Retail Trade",13581.4
"58",1994 Oct,"Retail Trade",13726.3
"59",1994 Nov,"Retail Trade",14096.8
"60",1994 Dec,"Retail Trade",14380.3
"61",1995 Jan,"Retail Trade",13775.2
"62",1995 Feb,"Retail Trade",13579.5
"63",1995 Mar,"Retail Trade",13539.2
"64",1995 Apr,"Retail Trade",13654.1
"65",1995 May,"Retail Trade",13757.5
"66",1995 Jun,"Retail Trade",13874.5
"67",1995 Jul,"Retail Trade",13878.2
"68",1995 Aug,"Retail Trade",13908.2
"69",1995 Sep,"Retail Trade",13894
"70",1995 Oct,"Retail Trade",14006.1
"71",1995 Nov,"Retail Trade",14347
"72",1995 Dec,"Retail Trade",14588.5
"73",1996 Jan,"Retail Trade",13927.7
"74",1996 Feb,"Retail Trade",13730.7
"75",1996 Mar,"Retail Trade",13748.1
"76",1996 Apr,"Retail Trade",13811.7
"77",1996 May,"Retail Trade",13993.7
"78",1996 Jun,"Retail Trade",14107.5
"79",1996 Jul,"Retail Trade",14136
"80",1996 Aug,"Retail Trade",14167.3
"81",1996 Sep,"Retail Trade",14153.5
"82",1996 Oct,"Retail Trade",14327.7
"83",1996 Nov,"Retail Trade",14692
"84",1996 Dec,"Retail Trade",14956.2
"85",1997 Jan,"Retail Trade",14227.1
"86",1997 Feb,"Retail Trade",14023.4
"87",1997 Mar,"Retail Trade",14039.9
"88",1997 Apr,"Retail Trade",14118.7
"89",1997 May,"Retail Trade",14241.9
"90",1997 Jun,"Retail Trade",14339.3
"91",1997 Jul,"Retail Trade",14354.7
"92",1997 Aug,"Retail Trade",14392
"93",1997 Sep,"Retail Trade",14359.5
"94",1997 Oct,"Retail Trade",14533
"95",1997 Nov,"Retail Trade",14904.1
"96",1997 Dec,"Retail Trade",15176.5
"97",1998 Jan,"Retail Trade",14455.8
"98",1998 Feb,"Retail Trade",14243.3
"99",1998 Mar,"Retail Trade",14226.1
"100",1998 Apr,"Retail Trade",14322
"101",1998 May,"Retail Trade",14471.8
"102",1998 Jun,"Retail Trade",14568.9
"103",1998 Jul,"Retail Trade",14602.1
